Name,Age,Nationality,Division,Position,G,PA,AB,R,H,Singles,Doubles,Triples,HR,XBH,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SF,IBB
Dexter Fowler,33.0,USA,NL Central,OF,150,574,487,69,116,72,24,1,19,44,67,8,5,74,142,0.238,0.346,0.409,0.754,101,199,6,8,4,1
Mallex Smith,26.0,USA,AL West,OF,134,566,510,70,116,82,19,9,6,34,37,46,9,42,141,0.227,0.300,0.335,0.635,73,171,7,11,1,0
C.J. Cron,29.0,USA,AL Central,1B,125,499,458,51,116,67,24,0,25,49,78,0,0,29,107,0.253,0.311,0.469,0.780,105,215,13,10,2,3
Asdrubal Cabrera,33.0,VEN,Multiple,3B,131,514,447,69,116,72,25,1,18,44,91,4,0,57,103,0.260,0.342,0.441,0.783,98,197,9,3,7,2
Harold Ramirez,24.0,COL,NL East,OF,119,446,421,54,116,82,20,3,11,34,50,2,1,18,91,0.276,0.312,0.416,0.728,92,175,8,5,1,1
Evan Longoria,33.0,USA,NL West,3B,129,508,453,59,115,74,19,2,20,41,69,3,1,43,112,0.254,0.325,0.437,0.762,101,198,14,7,5,1
Nomar Mazara,24.0,DR,AL West,OF,116,469,429,69,115,68,27,1,19,47,66,4,1,28,108,0.268,0.318,0.469,0.786,96,201,5,6,6,2
Eric Sogard,33.0,USA,Multiple,2B,110,442,396,59,115,77,23,2,13,38,40,8,0,38,63,0.290,0.353,0.457,0.810,116,181,4,2,3,2
Howie Kendrick,35.0,USA,NL East,1B,121,370,334,61,115,74,23,1,17,41,62,2,1,27,49,0.344,0.395,0.572,0.966,147,191,11,4,5,1
Domingo Santana,26.0,DR,AL West,OF,121,507,451,63,114,72,20,1,21,42,69,8,3,50,164,0.253,0.329,0.441,0.770,107,199,11,2,2,1
Brandon Crawford,32.0,USA,NL West,SS,147,560,500,58,114,77,24,2,11,37,59,3,2,53,117,0.228,0.304,0.350,0.654,74,175,10,3,4,5
Jorge Alfaro,26.0,COL,NL East,C,130,465,431,44,113,80,14,1,18,33,57,4,4,22,154,0.262,0.312,0.425,0.736,94,183,12,10,2,1
Luke Voit,28.0,USA,AL East,1B,118,510,429,72,113,70,21,1,21,43,62,0,0,71,142,0.263,0.378,0.464,0.842,123,199,12,9,1,2
Ian Desmond,33.0,USA,NL West,OF,140,482,443,64,113,58,31,4,20,55,65,3,3,34,119,0.255,0.310,0.479,0.788,90,212,12,2,2,1
David Dahl,25.0,USA,NL West,OF,100,413,374,67,113,65,28,5,15,48,61,4,4,28,110,0.302,0.353,0.524,0.877,112,196,3,4,5,0
Yadier Molina,36.0,PR,NL Central,C,113,452,419,45,113,79,24,0,10,34,57,6,0,23,58,0.270,0.312,0.399,0.711,88,167,14,5,5,0
Joc Pederson,27.0,USA,NL West,OF,149,514,450,83,112,57,16,3,36,55,74,1,1,50,111,0.249,0.339,0.538,0.876,127,242,4,12,2,2
Mark Canha,30.0,USA,AL West,OF,126,497,410,80,112,67,16,3,26,45,58,3,2,67,107,0.273,0.396,0.517,0.913,148,212,10,18,2,1
Todd Frazier,33.0,USA,NL East,3B,133,499,447,63,112,70,19,2,21,42,67,1,2,40,106,0.251,0.329,0.443,0.772,104,198,9,12,0,1
Marwin Gonzalez,30.0,VEN,AL Central,UTIL,114,463,425,52,112,78,19,0,15,34,55,1,0,31,98,0.264,0.322,0.414,0.736,95,176,7,6,1,2
Jason Kipnis,32.0,USA,AL Central,2B,121,511,458,52,112,71,23,1,17,41,65,7,2,40,88,0.245,0.304,0.410,0.715,84,188,7,2,6,2
Jackie Bradley Jr.,29.0,USA,AL East,OF,147,567,494,69,111,59,28,3,21,52,62,8,6,56,155,0.225,0.317,0.421,0.738,90,208,6,12,2,3
Jonathan Schoop,27.0,NED,AL Central,2B,121,464,433,61,111,64,23,1,23,47,59,1,1,20,116,0.256,0.304,0.473,0.777,103,205,13,10,1,1
Shohei Ohtani,24.0,JPN,AL West,DH,106,425,384,51,110,67,20,5,18,43,62,12,3,33,110,0.286,0.343,0.505,0.848,119,194,6,2,4,1
Orlando Arcia,24.0,VEN,NL Central,SS,152,546,494,51,110,78,16,1,15,32,59,8,5,43,109,0.223,0.283,0.350,0.633,64,173,15,1,6,5
Adalberto Mondesi,23.0,USA,AL Central,SS,102,443,415,58,109,70,20,10,9,39,62,43,7,19,132,0.263,0.291,0.424,0.715,85,176,6,0,6,0
Luis Arraez,22.0,VEN,AL Central,2B,92,366,326,54,109,84,20,1,4,25,28,2,2,36,29,0.334,0.399,0.439,0.838,125,143,2,1,3,1
Brian Goodwin,28.0,USA,AL West,OF,136,458,413,65,108,59,29,3,17,49,47,7,3,38,129,0.262,0.326,0.470,0.796,106,194,3,3,3,2
Dee Strange-Gordon,31.0,USA,AL West,2B,117,421,393,36,108,87,12,6,3,21,34,22,5,18,61,0.275,0.304,0.359,0.663,80,141,8,1,6,1
Rougned Odor,25.0,VEN,AL West,2B,145,581,522,77,107,46,30,1,30,61,93,11,9,52,178,0.205,0.283,0.439,0.721,79,229,4,5,1,2
Garrett Cooper,28.0,USA,NL East,1B,107,421,381,52,107,75,16,1,15,32,50,0,0,33,110,0.281,0.344,0.446,0.791,109,170,10,5,2,0
Ji-Man Choi,28.0,KOR,AL East,1B,127,487,410,54,107,66,20,2,19,41,63,2,3,64,108,0.261,0.363,0.459,0.822,121,188,7,6,7,2
Joe Panik,28.0,USA,Multiple,2B,142,491,438,50,107,79,21,2,5,28,39,4,2,43,47,0.244,0.315,0.336,0.651,74,147,6,4,4,2
Khris Davis,31.0,USA,AL West,OF,133,533,481,61,106,72,11,0,23,34,73,0,0,47,146,0.220,0.293,0.387,0.679,84,186,11,3,2,3
Fernando Tatis Jr.,20.0,DR,NL West,SS,84,372,334,61,106,65,13,6,22,41,53,16,6,30,110,0.317,0.379,0.590,0.969,154,197,4,5,3,1
Melky Cabrera,34.0,DR,NL Central,OF,133,397,378,43,106,76,22,1,7,30,47,2,0,17,41,0.280,0.313,0.399,0.713,86,151,14,1,0,3
Niko Goodrum,27.0,USA,AL Central,UTIL,112,472,423,61,105,61,27,5,12,44,45,12,3,46,138,0.248,0.322,0.421,0.743,95,178,7,1,2,1
David Peralta,31.0,VEN,NL West,OF,99,423,382,48,105,61,29,3,12,44,57,0,0,35,87,0.275,0.343,0.461,0.804,105,176,9,5,1,3
Andrelton Simmons,29.0,NED,AL West,SS,103,424,398,47,105,79,19,0,7,26,40,10,2,24,37,0.264,0.309,0.364,0.673,77,145,21,2,0,1
Wil Myers,28.0,USA,NL West,OF,155,490,435,58,104,63,22,1,18,41,53,16,7,51,168,0.239,0.321,0.418,0.739,96,182,12,2,1,0
Buster Posey,32.0,USA,NL West,C,114,445,405,43,104,73,24,0,7,31,38,0,0,34,71,0.257,0.320,0.368,0.688,83,149,18,4,1,1
Aaron Judge,27.0,USA,AL East,OF,102,447,378,75,103,57,18,1,27,46,55,3,2,64,141,0.272,0.381,0.540,0.921,142,204,11,3,1,4
Harold Castro,25.0,VEN,AL Central,UTIL,97,369,354,30,103,84,10,4,5,19,38,4,2,9,86,0.291,0.305,0.384,0.689,82,136,6,0,4,0
Kevin Kiermaier,29.0,USA,AL East,OF,129,480,447,60,102,61,20,7,14,41,55,19,5,26,104,0.228,0.278,0.398,0.676,80,178,8,5,1,2
Edwin Encarnacion,36.0,DR,Multiple,DH,109,486,418,81,102,50,18,0,34,52,86,0,1,58,103,0.244,0.344,0.531,0.875,131,222,4,7,3,1
Mike Yastrzemski,28.0,USA,NL West,OF,107,411,371,64,101,55,22,3,21,46,55,2,4,32,107,0.272,0.334,0.518,0.852,122,192,4,4,3,1
Robbie Grossman,29.0,USA,AL West,OF,138,482,420,57,101,71,21,3,6,30,38,9,4,59,86,0.240,0.334,0.348,0.682,88,146,7,1,2,2
Alex Verdugo,23.0,MEX,NL West,OF,106,377,343,43,101,65,22,2,12,36,44,4,1,26,49,0.294,0.342,0.475,0.817,114,163,8,2,6,1
Jurickson Profar,26.0,NED,AL West,2B,139,518,459,65,100,54,24,2,20,46,67,9,1,48,75,0.218,0.301,0.410,0.711,92,188,12,8,3,2
